Sno,WT1:U-1,WT1:I-1,WT1:P-1,WT1:S-1,WT1:Q-1,WT1:PF-1,WT1:Phi-1,Class,R,pdiff,sdiff,qdiff,rdiff,Device
4106,235.22,6.072,1390,1430,336,0.972,13.6,30,33.2607466063,0,0,1,-0.0164717972,NN
4107,235.17,6.074,1390,1430,337,0.9718,13.64,30,33.2442748092,0,0,2,-0.0239358261,NN
4108,235.2,6.08,1390,1430,339,0.9716,13.7,30,33.2203389831,0,0,0,-0.0065575654,NN
4109,235.22,6.082,1390,1430,339,0.9714,13.72,30,33.2137814177,0,0,1,-0.0225322998,NN
4110,235.16,6.085,1390,1430,340,0.9713,13.76,30,33.1912491179,0,0,0,0.0037833405,NN
4111,235.22,6.086,1390,1430,340,0.9713,13.75,30,33.1950324584,0,0,1,-0.0131501386,NN
4112,235.16,6.087,1390,1430,341,0.9713,13.77,30,33.1818823197,0,0,0,0.0009619241,NN
4113,235.2,6.088,1390,1430,341,0.9713,13.77,30,33.1828442438,0,0,0,-0.0028216704,NN
4114,235.18,6.088,1390,1430,341,0.9713,13.76,30,33.1800225734,0,0,0,-0.0224989519,NN
4115,235.12,6.091,1390,1430,341,0.9713,13.77,30,33.1575236215,0,0,0,0.0098716683,NN
4116,235.19,6.091,1390,1430,341,0.9713,13.76,30,33.1673952898,0,0,0,0.0037148809,NN
4117,235.15,6.089,1390,1430,341,0.9713,13.76,30,33.1711101707,0,0,-1,0.0032690618,NN
4118,235.14,6.088,1390,1430,340,0.9714,13.74,30,33.1743792325,0,0,1,-0.0158907948,NN
4119,235.16,6.092,1390,1430,341,0.9713,13.77,30,33.1584884377,0,0,0,-0.0070501974,NN
4120,235.11,6.092,1390,1430,341,0.9713,13.76,30,33.1514382403,0,0,-1,0.0141003948,NN
4121,235.21,6.092,1390,1430,340,0.9714,13.73,30,33.1655386351,0,0,2,-0.0313785449,NN
4122,235.12,6.096,1390,1430,342,0.9712,13.79,30,33.1341600902,0,0,0,-0.0111850233,NN
4123,235.14,6.099,1390,1430,342,0.9711,13.81,30,33.1229750669,0,10,1,-0.0069514116,NN
4124,235.19,6.102,1390,1440,343,0.9711,13.82,30,33.1160236553,0,0,0,-0.0032544029,NN
4125,235.2,6.103,1390,1440,343,0.971,13.82,30,33.1127692524,0,0,0,-0.0004381713,NN
4126,235.23,6.104,1390,1440,343,0.9711,13.81,30,33.1123310811,0,0,0,-0.0066011078,NN
4127,235.15,6.103,1390,1440,343,0.9711,13.82,30,33.1057299733,0,0,0,-0.0046601534,NN
4128,235.15,6.104,1390,1440,343,0.971,13.83,30,33.1010698198,10,0,1,-0.0059657118,NN
4129,235.24,6.108,1400,1440,344,0.9709,13.85,30,33.095104108,-10,0,0,0.0162572885,NN
4130,235.19,6.103,1390,1440,344,0.9709,13.85,30,33.1113613966,0,0,-1,0.0079175782,NN
4131,235.18,6.101,1390,1440,343,0.971,13.84,30,33.1192789748,0,0,0,-0.0028165047,NN
4132,235.16,6.101,1390,1440,343,0.9709,13.85,30,33.1164624701,0,0,1,-0.000877506,NN
